发帖用户id	科室	所属栏目	相关疾病
风雨彩虹2011	骨科		骨折
zjg791211	骨科		
飞鱼wcx	骨科		骨折
沧海医刀	骨科		股骨颈骨折
cmuey1		创伤	
luyigukeyiyuan	骨科		骨折
hxjhxjhxj2007	胸外科	创伤	骨折
dxy_voq8c8a5			
Doctor_ywj	普外科		
李晴天			褥疮
六6	普通内科	手足	骨折
15893811320	外科		
假装不美_		骨科基础研究&数字骨科	
wudi086315	骨科		骨折
fxgj2008	骨科		
hotstone	骨科	创伤	踝关节扭伤
dxy_75anqdw6		骨病	
大海医生-1973	骨科		骨折
jmq12356	核医学科		骨纤维异常增殖症
sxszwhz		儿骨	
wenanlangyu	骨科		骨折
jiayu6047	骨科		股骨颈骨折
归海依刀	骨科		骨赘
yangbozhu	普外科		
dxy_qy2yg3z7			
沧海医刀	骨科		骨折
沧海医刀	骨科		骨折
hotstone	骨科		骨折
微茗云医			骨折
stones		骨科基础研究&数字骨科	肋骨骨折
LanceYY			
LLYou	骨科		骨折
haizhizia	骨科		骨折
LanceYY			骨纤维异常增殖症
LanceYY			软骨瘤
dxy_urefa7d		脊柱	压缩性骨折
clar1985	骨科		
pg-铸东			
Leon-s			
work037		运动医学	半月板损伤
hxjhxjhxj2007	胸外科	创伤	
melody_cq2012	肿瘤内科		尿失禁
温柔一刀周医生	骨科		
莫莫莫4JSJ			骨赘
沧海医刀	骨科		骨折
为梦飞			
理如此也			
李小大夫	骨科		胫腓骨骨干骨折
江宝bao			股骨头坏死
为梦飞			骨折
尽人事2			水肿
ledicine	骨科		
shiruyi	骨科		骨折
周胤成			
zkm999502	骨科	儿骨	骨硬化症
ledicine	骨科		
zhl714819			
dxy_htsibch3			
sincelin11111	骨科	创伤	骨折
lqs0061291	烧伤科		热压伤
CSB5359321238	骨科	创伤	骨折
外科小肖	普外科		先天性卵巢发育不全综合征
无敌浪子	内科		胫腓骨骨干骨折
青山依旧在			Legg-Calve-Perthes病
医者一心		关节	
mdj2s		创伤	
zhang696			血管瘤
云台伊人	骨科		骨折
风月有情	骨科	创伤	骨折
luyigukeyiyuan	骨科		骨折
芝士焗虾			普通感冒
luyigukeyiyuan	骨科		骨折
lixiaoyu13		脊柱	
lzt2016	骨科		骨折
yekai137	骨科		骨肿瘤
星空7YW5	放射科		骨软骨瘤
山穷水尽疑无路	中医按摩科		
doctormuzi409	骨科		
清波门		手足	
用户名已占用555			骨硬化症
芝士焗虾			肿瘤
ltc0358	骨科		股骨转子间骨折
子恒古			
yang197487	骨科		骨折
ANRC-777		关节	骨关节炎
dxy_9871t739	骨科		骨折
9小丸子9			骨折
抗体产生	骨科		
007909蓝天	口腔科		
ltc0358	骨科		
mjyyah	内科	冷暖人间	库欣综合征
huang_zhe_yuan	骨科	脊柱	腰椎间盘突出症
咯咯柚子哒	消化内科		足部皮肤角化过度
lh38352255	骨伤科		肩锁关节脱位
mjyyah	内科		库欣综合征
黑崎__一护	骨科		
归海依刀	骨科		骨关节炎
yjsang		普法学堂	卒中
a小王子a			结石
有情雨	创伤骨科		肺炎
蒲公英ljy		全科医疗	
第一快刀		创伤	肩关节脱位
中医世家丶		中医科普	耳鸣
心静的时候CI5R	骨科	从医者说	子宫肌瘤
大医非大愚	放射科		包皮过长
dxy_8hbwrqbe			
ZXFZDH	骨科		
yjsang		开卷有益	盲
无字仓颉731			系统性红斑狼疮
约约约			
刘小岩	全科		
ykai23			脑出血
悠攸			
happy0720	神经科	学习交流	冠心病
Vigorousa		病例讨论	腹痛
特别有杀气		学习交流	
liaozuosen			眩晕
旷小宇	神经科		中毒
小僧悟道	神经科		蛛网膜下腔出血
maomao00a	神经科		脱髓鞘
happy0720	神经科	学习交流	昏迷
Hjyhj350	神经科	学习交流	眩晕
Xklby56	神经科	学习交流	脑出血
dxy_wcvjoax8			
浙江人ss	全科	学习交流	猝死
cmuey1		学习交流	面神经麻痹
wsjslink		病例讨论	肌肉萎缩
小僧悟道	神经科		神经胶质瘤
jiayang999			急性一氧化碳中毒
FangQU			中毒
小僧悟道	神经科		脑出血
liuruling11			卒中
igreenVOO3			脑囊肿
秦时之月	神经外科		胶质母细胞瘤
Orcbroccoli			亚急性脊髓联合变性
wdwpxx			肺炎
dxy_d2so0ha9			腔隙性脑梗死
王子华GG			化脓性脑膜炎
Orcbroccoli			脑梗死
Xklby56	神经科	神经电生理	
SJSJ123	神经科	学习交流	脑血管疾病
SJSJ123	神经科	学习交流	静脉血栓形成
Dycsr78899	神经科	学习交流	淋巴瘤
焕颜奴			阿尔茨海默病
q9443			动脉瘤
dxy_d2so0ha9			偏瘫
hyhee			先天性卵巢发育不全综合征
杰哥哥01011	神经科	病例讨论	肿瘤
肥懒家的阿烂		学习交流	
youhong1976	内科		
弘医人	妇科		脊髓肿瘤
小僧悟道	神经科		癫痫
丁香学堂	心血管内科	学习交流	帕金森病
慕容秋荻3			神经系统疾病
dxy_b9n6nhuq		学习交流	脑梗死
Dycsr78899	神经科	病例讨论	中毒
haojun19820722	神经科	病例讨论	肺癌
jiangwenhui1234	骨科		耳鸣
dxy_b9n6nhuq			卒中
deping2008	神经科	病例讨论	肺癌
liudongqun			帕金森病
小僧悟道	神经科		甲醇中毒
f20317		神经病理	
素问99			
ANRC-666		学习交流	肌肉萎缩
yjbjy22339		学习交流	
senior		论坛公告	卒中
bluesky10114	神经科	病例讨论	癫痫
李仁平	普通内科	学习交流	卒中
dxy_lainey		学习交流	
小小小外科医生	创伤骨科	病例讨论	中毒
ly879752577	神经科	学习交流	延髓背外侧综合征
Wyjts880	神经科	学习交流	布氏菌病
西湖流萤	神经科	学习交流	
风格f			
孙桂林紫月儿			脑损伤
凯瑞擎宇	呼吸科	病例讨论	脑梗死
cychina1010	普通内科	学习交流	腹水
笋笋			
逃	神经科	学习交流	卒中
efieldz		病例讨论	意识障碍
wangfijun	内科		瘫痪
lg260603682		病例讨论	昏迷
wsjslink		神经影像	
xch3149	神经科		
Wyjts880	神经科	学习交流	
漫路慎行	神经科		头痛
cmuey1		学习交流	
小僧悟道	神经科		结核病
小僧悟道	神经科		血栓形成
王正伟19890203	神经科		蛛网膜下腔出血
afeibaby			动脉硬化
happy0720	神经科	学习交流	癫痫
leoxx1236			
qq136443665	心血管内科		癫痫
无华1314	神经科		脊髓血管畸形
影子的独白	神经外科	病例讨论	卒中
happy0720	神经科	学习交流	卒中
柳柳刀		病例讨论	动静脉瘘
cm15594799541	小儿内科		腹痛
dxy_8hbwrqbe			分离性障碍
dxy_b9n6nhuq		学习交流	水肿
085011273		学习交流	晕厥
风中乱舞			头痛
bgs1108	神经科	学习交流	脑梗死
ly879752577	神经科	学习交流	脊髓性肌萎缩
yaoyaohuxu	神经科	学习交流	
小僧悟道	神经科		眼球震颤阻滞综合征
茅医	神经科	病例讨论	结节病
大山2003	神经科	学习交流	头痛
Hjyhj350	神经科	学习交流	动脉瘤
dxy_dszhdzge		学习交流	
探索未知x		神经电生理	失眠
dxy_cqvpqg6			脑出血
林小胖妞	内科		冠心病
清水洗尘wlf			晕厥
杨柳依依_	内科		耳鸣
希岳		学习交流	高血压
Hjyhj350	神经科	学习交流	乳腺癌
cxchao	神经科	病例讨论	肿瘤
记忆如风			
清波门		病例讨论	足下垂
wenyi104	神经外科		淀粉样变性
dxy_78ijohm7		学习交流	头痛
sbyycd	CT室	学习交流	
dxy_fmmubml5			骨折
璐璐guying		学习交流	
苦难医生	神经科	病例讨论	肿瘤
yjbjy22339		学习交流	
zelinda_8696			脑炎
高大小强	心血管内科		脑出血
yjbjy22339		学习交流	卒中
bgs1108	神经科	学习交流	肺癌
zhongjg		学习交流	神经系统疾病
动感光波-超人	超声科		
芝士焗虾			水肿
hezhaohui1990			
wuwu387	神经科		头痛
华夏览雄	影像科	影像读片	肺炎
dxy_kgykrci0			高血压性脑出血
qiuyuexinggu	MRI室		头痛
351459312		学习交流	
banqiliao			
Wangchen1984	内科		水肿
逃	神经科	学习交流	带状疱疹
多喝热水2333	未知	呼吸治疗	肺炎
ipqufw	呼吸科	病例讨论	肿瘤
sosmeng	呼吸科	影像读片	结核病
xchq19810228	神经科	病例讨论	不随意运动
冰妖	神经科		头痛
ly879752577	神经科	神经影像	高脂血症
漠漠无雨pin	药剂科		脑炎
dxy_4dvftx8w			神经系统疾病
dxy_ezysol44			
wxb200708	呼吸科	学习交流	
也许的美好			骨折
芝士焗虾			脑震荡
那风那雨那虹			肺炎
东点一坨子	呼吸科	病例讨论	间质性肺疾病
dxy_2a8572re		学习交流	脱髓鞘
柱子P117	心胸外科		主动脉夹层
风筝的语言89			脑梗死
芝士焗虾			癫痫持续状态
芝士焗虾			神经系统疾病
柳叶刀Brain	脑外科	神经影像	动脉瘤
lxl395	神经科		脑膜瘤
没事找找虐SY93			苯中毒
bgs1108	神经科	学习交流	血管炎
月叔打怪兽		其它	
漩涡一拳	呼吸科	影像读片	肿瘤
王文璋医生	心胸外科	普胸外科	胸骨骨髓炎
stevenjr	神经科		头痛
wdstu2008	神经外科	学习交流	脑出血
weijiang	神经科	神经影像	完全性失语
Wyjts880	神经科	学习交流	睡眠障碍
挪亚方舟		病例讨论	吉兰-巴雷综合征
Xklby56	神经科	学习交流	慢性炎性脱髓鞘性多发性神经根神经病
烤者焰心			脑心综合征
脏脏包			
bgs1108	神经科	学习交流	卒中
XQY0518		病例讨论	中毒
LittleKRIA			
Xklby56	神经科	学习交流	盲
走我们私奔吧就现在			
橄榄之树	中西医结合科		
dxy_j4fe8in9			
ivy昆明	神经科	病例讨论	主动脉夹层
bgs1108	神经科	学习交流	
bgs1108	神经科	学习交流	晕动病
消失在那年		学习交流	神经胶质瘤
焦丹YAZK		资源	
ZY98698			
dxy_5ibdydn7			
柳柳刀		病例讨论	Alexander病
紫罗兰1991	肿瘤内科		肿瘤
mw051205	神经科	学习交流	
小糍粑			水肿
dxy_un5n0tl5			
liugang_sz	麻醉科	影像读片	主动脉夹层
tanmessi			脑出血
Hjyhj350	神经科	学习交流	
sunnydays69			肿瘤
dxy_59lqs1le	肛肠外科		
胡小晶			骨折
晓明明同学			
小僧悟道	神经科		脑炎
Dzwxq790	神经科	学习交流	挤压综合征
答答520		学习交流	
bgs1108	神经科	学习交流	多发性硬化
东点一坨子	呼吸科	影像读片	
南山南EDLN			毒血症
FangQU			脑膜瘤
悠悠我心o			
hezhaohui1990			
文潭诗雨			
Dzwxq790	神经科	学习交流	
加油加油曾曾			
harvey1980	重症医学科	病例讨论	普通感冒
harvey1980	重症医学科	呼吸治疗	慢性心力衰竭
东点一坨子	呼吸科	其它	大叶性肺炎
L13732572910	手外科		
happy0720	神经科	学习交流	卒中
acong2003			
jiahy20141128	神经科	神经影像	桥本脑病
cfq5288	神经科	学习交流	尿毒症
zx19940201			
bgs1108	神经科	学习交流	面神经麻痹
zalady	呼吸科	呼吸治疗	胸腔积液
bgs1108	神经科	学习交流	
dxy_oj0colu6	设备科		头痛
leegaga	内科	学习交流	神经系统疾病
dxy_1rv874t5			
大邈哥			肿瘤
cgx8010		病例讨论	抑郁症
陈质明	放射科		肿瘤
dxy_d2so0ha9			脑梗死
jizai81520	呼吸科		糖尿病
bgs1108	神经科		卒中
dockan	普外科		
zhuhaizhou1	肾脏内科		病毒性肺炎
Erised_831			
dxy_8cmyzw85			支气管哮喘
jbymy350	神经科	学习交流	脱水
lyglf	消化内科	肺癌	肺癌
waitingheart		学习交流	脑血管疾病
happy0720	神经科	学习交流	卒中
imly		呼吸治疗	普通感冒
心静幼稚	疼痛科	影像读片	
xwb677	呼吸科		呼吸衰竭
漩涡一拳	呼吸科		支气管哮喘
yinchengchonglou	呼吸科		肺炎
dxy_kgykrci0			
蝴蝶1229		普胸外科	狐臭
dxy_stjazekr		呼吸治疗	呼吸衰竭
wangyy1990		进展|翻译|热点|科研	支气管扩张症
暂时不知道			中性粒细胞减少症
非同凡响	急诊科		结节病
MYMS001	神经科	呼吸治疗	流行性感冒
五月寒风		影像读片	病毒性肺炎
belb	呼吸科	进展|翻译|热点|科研	肺炎
丁香园呼吸频道		其它	阿尔茨海默病
东点一坨子	呼吸科	其它	中毒
王文璋医生	心胸外科	普胸外科	肺炎
SJSJ123	神经科	学习交流	腔隙性脑梗死
多喝热水2333	未知	其它	糖尿病
特民瑞福祥			
东点一坨子	呼吸科	病例讨论	支气管哮喘
王文璋医生	心胸外科	普胸外科	肺炎
zmlzqzj		其它	流行性感冒
白茶红苍		呼吸治疗	流行性感冒
有一个小柚子			气胸
萝卜萝卜大萝卜		病例讨论	口腔白斑
王文璋医生	心胸外科	进展|翻译|热点|科研	
hhyyf520		其它	结核病
萝卜萝卜大萝卜		病例讨论	慢性支气管炎
用户名已占用555		呼吸治疗	流行性感冒
belb	呼吸科	其它	肺炎
王文璋医生	心胸外科	进展|翻译|热点|科研	
被解剖的心	呼吸科	呼吸治疗	肺脓肿
医刀之道	心胸外科	影像读片	胸腔积液
miss乔木			结石
丁香园呼吸频道		其它	流行性感冒
binjilingyan	妇产科	结核和分枝杆菌病	结核病
w-e-s		病例讨论	
doctoric	内科		呼吸衰竭
月叔打怪兽		其它	感染性休克
dxy_cuzq7o25			
tong8071	内分泌科	病例讨论	肺炎
丁香园呼吸频道		其它	支气管哮喘
huoxiaochuan	神经外科	神经介入	卒中
xy45	神经外科	肺癌	
15902879849bai	消化内科	其它	
永夜5M4P		其它	心包积液
hjh007	呼吸科	影像读片	肺水肿
王文璋医生	心胸外科	进展|翻译|热点|科研	肿瘤
王文璋医生	心胸外科	病例讨论	胸骨骨髓炎
w305633358	心血管内科	其它	代谢性碱中毒
66321561981w	内分泌科	其它	慢性阻塞性肺疾病
到达远方	神经科		神经纤维瘤病
王文璋医生	心胸外科	进展|翻译|热点|科研	
qunqunzhige	神经科	肺癌	单纯性下肢静脉曲张
王文璋医生	心胸外科	普胸外科	胸骨骨髓炎
ningqian		结核和分枝杆菌病	结核病
丁香园呼吸频道		其它	瑞氏综合征
dxy_dgf32r0w			肿瘤
laurayl			支气管哮喘
w270002			胸腔积液
b79917	胸外科	病例讨论	肺炎
王文璋医生	心胸外科	普胸外科	脓毒症
王文璋医生	心胸外科	普胸外科	乳腺癌
shazi_407	其他	其它	
jiangmin	急诊科	病例讨论	肺栓塞
dxy_39sbmon8		其它	
王文璋医生	心胸外科	普胸外科	胸骨骨髓炎
外科丶小医生			肺癌
大头爸爸小头妈妈	呼吸科	其它	阿尔茨海默病
dxy_junjun		其它	卒中
大医非大愚	放射科		肺不张
aspirin1899		病例讨论	慢性咳嗽
医者漫步	胸外科	普胸外科	肺癌
mike2005	胸外科	普胸外科	
东点一坨子	呼吸科	其它	病毒感染
雄激素与感冒		呼吸治疗	骨折
东点一坨子	呼吸科	进展|翻译|热点|科研	肺炎
amayly	重症医学科	进展|翻译|热点|科研	支气管扩张症
用药助手		其它	普通感冒
dxy_dgf32r0w			
dxy_ruqhqta8		影像读片	
墨妍		结核和分枝杆菌病	胸腔积液
他的主治医师		结核和分枝杆菌病	结核病
dxy_8qc9fiq	药剂科	呼吸治疗	支气管扩张症
dzl2008	呼吸科	影像读片	结节病
Yaya630918	心血管内科	呼吸治疗	Barrett食管
带着遗憾		其它	
多喝热水2333	未知	病例讨论	肺炎
右手的红叶		其它	
dxy_laadfy8		其它	开放性气胸
丁香园呼吸频道		其它	
guoliyun1030	神经科	影像读片	病毒性肺炎
丁香园呼吸频道		其它	
wangpingszn	神经科	影像读片	肺炎
阜新叮咚	神经科	学习交流	吞咽障碍
时光为你加冕			结核病
dxy_vdvjnuue			心力衰竭
ZJ811	呼吸科		甲亢
xackun	内科	病例讨论	咯血
颖111		其它	
hy3250771		病例讨论	肺栓塞
YangHicup		病例讨论	心包积液
Helo5BDD		影像读片	
芝士焗虾		其它	慢性阻塞性肺疾病
lemon柠檬lemon		其它	
漩涡一拳	呼吸科	进展|翻译|热点|科研	普通感冒
冰城公主	重症医学科	其它	
绝对零度WFJ		影像读片	血管炎
lansingg	呼吸科	进展|翻译|热点|科研	
丁香511	神经科	影像读片	流行性感冒
liugang_sz	麻醉科	呼吸治疗	
神的孩子跳芭蕾舞		肺癌	
蒲小其	临床检验室		慢性阻塞性肺疾病
hjh007	呼吸科	影像读片	球形肺炎
dxy_noba9k72		其它	
蒲公英wy	呼吸科	影像读片	结核病
杜倩妮	放射科	影像读片	纵隔气肿
丁香园呼吸频道		其它	
dxy_vas3pryr		其它	气胸
a平淡		影像读片	结核病
swordhost		病例讨论	支气管扩张症
论坛助手-坛坛		其它	46XX性发育睾丸疾病
kuteng_2007	呼吸科	其它	肺纤维化
大医非大愚	放射科	其它	病毒感染
伊丽莎白流鼻涕			脑梗死
芝士焗虾			支气管哮喘
芝士焗虾			支气管哮喘
liyoushan		普胸外科	气胸
小星星的梦颖		其它	胸腔积液
头太大忧伤啊		影像读片	
希波丽丽			
獭人			心房颤动
sarasue93		影像读片	
獭人		病例讨论	脑梗死
深海火焰120	内科	病例讨论	支气管哮喘
xxys	普外科	影像读片	普通感冒
lulinhaojia	胸外科	进展|翻译|热点|科研	
shanzidatou		其它	二尖瓣狭窄
安迪兰乔	急诊科	进展|翻译|热点|科研	
fantic_zoda		呼吸治疗	
caolianyu	呼吸科	影像读片	病毒性肺炎
多喝热水2333	未知	病例讨论	
lemon柠檬lemon		其它	肺不张
多喝热水2333	未知	病例讨论	支气管炎
yyyuong			甲亢
Dream--2017	神经科		心肌梗死
dxy_wf241430		影像读片	咯血
丁香园呼吸频道		公告/索引	
落风如歌			肺癌
陈舜贤1979		其它	支气管扩张症
陈舜贤1979		病例讨论	尘肺
神仙玉兔		其它	
黄昏3XPR		呼吸治疗	十二指肠溃疡
dxy_ieda0604		其它	肺气肿
绝对零度WFJ		影像读片	卡氏肺囊虫肺炎
belb	呼吸科	其它	流行性感冒
yangwenjun2015	重症医学科	影像读片	肺栓塞
380370024	内科	呼吸治疗	病毒感染
Wyjts880	神经科	学习交流	足部皮肤角化过度
肥花花			
酸酸大帅	重症医学科		
738937887	心血管内科	影像读片	结核病
a688		结核和分枝杆菌病	慢性咽炎
绝对零度WFJ		影像读片	
绝对零度WFJ		影像读片	癌症
遇到问题		其它	肋骨骨折
dxy_r20y1w9		结核和分枝杆菌病	结核病
止悔			
华山纯爷们		病例讨论	荨麻疹
Kinglinesslx		其它	
大miao			气胸
dxy_qe8nwlj			肺气肿
zjtqq6	消化内科		糖尿病
ahaivivian	心胸外科	普胸外科	
youguo81	全科	其它	
dabendab			胆囊切除术后综合征
f20317		精神病理学	
Czjt			脑梗死
绝对零度WFJ		影像读片	结核病
Charlene47		病例讨论	自然流产
dxy_c1w9uft9		其它	肺癌
dxy-tg333	内科	呼吸治疗	流行性感冒
偓佺			
清溪兰泽		结核和分枝杆菌病	
dxy_3l1zluh9			支气管哮喘
鋯莂縱鎆	心血管内科		
dxy_tn4n94f6		影像读片	
何川	内镜科	普胸外科	漏斗胸
belb	呼吸科	病例讨论	支气管扩张症
绝对零度WFJ		影像读片	肺结核
penpendog	全科	影像读片	肺炎
wangyy1990		基础与进展	眩晕
f20317		咨询与治疗	
湘雅小超人		进展|翻译|热点|科研	
绝对零度WFJ		影像读片	肺癌
f20317		精神病理学	
f20317		人文与法规	
绝对零度WFJ		影像读片	
哎呀好难	重症医学科	其它	肺不张
belb	呼吸科	病例讨论	支气管炎
dxy_7ntl3tj0			
多喝热水2333	未知	病例讨论	咳嗽变异型哮喘
非火		其它	肺动脉高压
张永宏海燕	呼吸科	影像读片	普通感冒
有只小怪兽		病例讨论	焦虑症
Wyjts880	神经科	学习交流	
f20317		人文与法规	
ihty999	心理科		焦虑症
绝对零度WFJ		影像读片	胸腔积液
